name,ring,quadrant,isNew,description
Android SDK,Adopt,frameworks & libraries,FALSE,
Ant Design,Assess,frameworks & libraries,TRUE,FALSE,
AppDynamics,Trial,platform & infrastructure,FALSE,
Consul,Adopt,platform & infrastructure,FALSE,
Docker,Trial,platform & infrastructure,FALSE,
echo,Adopt,frameworks & libraries,FALSE,
Elasticsearch,Adopt,data management,FALSE,
FastAPI,Adopt,frameworks & libraries,FALSE,
Firebase,Adopt,platform & infrastructure,FALSE,
flux2,Adopt,platform & infrastructure,FALSE,
Golang,Adopt,languages,FALSE,
Google MS,Adopt,platform & infrastructure,FALSE,
google wire,Adopt,frameworks & libraries,FALSE,
Grafana,Adopt,platform & infrastructure,FALSE,
gRPC,Adopt,data management,FALSE,
HAProxy,Adopt,platform & infrastructure,FALSE,
Hashicorp Consul,Adopt,platform & infrastructure,FALSE,
Hashicorp Vault,Adopt,platform & infrastructure,FALSE,
Helm,Adopt,platform & infrastructure,FALSE,
Huawey MS,Adopt,platform & infrastructure,FALSE,
Jaeger,Adopt,platform & infrastructure,FALSE,
Javascript,Adopt,languages,FALSE,
k8s,Adopt,platform & infrastructure,FALSE,
Kafka,Trial,platform & infrastructure,FALSE,
KeepAliveD,Adopt,platform & infrastructure,FALSE,
Kibana,Adopt,platform & infrastructure,FALSE,
Kotlin,Adopt,languages,FALSE,
Kotlin,Adopt,languages,TRUE,FALSE,
Krakend,Adopt,frameworks & libraries,FALSE,
Logstash,Adopt,platform & infrastructure,FALSE,
Loki,Adopt,platform & infrastructure,FALSE,
Memcached,Adopt,data management,FALSE,
MySQL,Hold,data management,FALSE,
NATS,Trial,platform & infrastructure,FALSE,
Nginx,Adopt,platform & infrastructure,FALSE,
Nuxt.js,Trial,frameworks & libraries,FALSE,
oapi-codegen,Adopt,frameworks & libraries,FALSE,
OpenAPI,Adopt,frameworks & libraries,FALSE,
PHP,Adopt,languages,FALSE,
PostgreSQL,Adopt,data management,FALSE,
Prometheus,Adopt,platform & infrastructure,FALSE,
Pydantic,Adopt,frameworks & libraries,FALSE,
Python,Adopt,languages,FALSE,
RabbitMQ,Adopt,data management,FALSE,
Redis,Adopt,data management,FALSE,
Room,Assess,data management,FALSE,
Sentry,Trial,platform & infrastructure,TRUE,FALSE,
sqlalchemy,Adopt,frameworks & libraries,FALSE,
Swift,Adopt,languages,TRUE,FALSE,
Symfony,Adopt,frameworks & libraries,FALSE,
Tarantool Data Grid,Trial,data management,TRUE,FALSE,
Terragrunt,Adopt,platform & infrastructure,FALSE,
Typescript,Trial,languages,TRUE,FALSE,
victoria metrics,Adopt,platform & infrastructure,FALSE,
Vue.js,Adopt,frameworks & libraries,FALSE,
YandexCloud,Adopt,platform & infrastructure,FALSE,
